N,r1,r2,r3,r4,r5,vmax,vmin,vmean,sigma
20,0.89410001039505,0.915000021457672,0.9182999730110168,0.0979999974370002,0.9169999957084656,0.9182999730110168,0.0979999974370002,0.6798142812081746,0.363763711389386
80,0.912500023841858,0.9151999950408936,0.8756999969482422,0.9190000295639038,0.91729998588562,0.9190000295639038,0.8756999969482422,0.9049142939703805,0.018185521245916363
100,0.9158999919891356,0.920799970626831,0.9204000234603882,0.9179999828338624,0.9157999753952026,0.920799970626831,0.9157999753952026,0.9182142700467791,0.002381601881017365
500,0.9092000126838684,0.9153000116348268,0.9182999730110168,0.869700014591217,0.8967999815940857,0.9182999730110168,0.869700014591217,0.8996142830167498,0.01977783392656983
800,0.8942000269889832,0.8677999973297119,0.9143999814987184,0.9182000160217284,0.9125999808311462,0.9182000160217284,0.8677999973297119,0.8990285737173898,0.020961103373299
1000,0.9070000052452089,0.9146999716758728,0.91430002450943,0.8934999704360962,0.0979999974370002,0.9146999716758728,0.0979999974370002,0.677171419773783,0.3620651098048087
1500,0.8970999717712402,0.8784999847412109,0.913699984550476,0.9063000082969666,0.8902999758720398,0.913699984550476,0.8784999847412109,0.8968714135033744,0.013714668675098301
2000,0.911899983882904,0.880299985408783,0.8837000131607056,0.9128000140190125,0.9126999974250792,0.9128000140190125,0.880299985408783,0.8992142847606114,0.01673415712824079
