N,r1,r2,r3,r4,r5,vmax,vmin,vmean,sigma
20,0.3068000078201294,0.4183999896049499,0.4232999980449676,0.3865000009536743,0.3977999985218048,0.4232999980449676,0.3068000078201294,0.380414285830089,0.047041497408076546
80,0.6474000215530396,0.5600000023841858,0.5928000211715698,0.6238999962806702,0.4535999894142151,0.6474000215530396,0.4535999894142151,0.5683857202529907,0.07568242526550242
100,0.6521999835968018,0.630299985408783,0.6915000081062317,0.7365999817848206,0.623199999332428,0.7365999817848206,0.623199999332428,0.6705142770494733,0.047245347539763546
500,0.8842999935150146,0.876800000667572,0.86080002784729,0.8809999823570251,0.8848000168800354,0.8848000168800354,0.86080002784729,0.8761857237134661,0.00988877017148458
800,0.8949000239372253,0.8980000019073486,0.864799976348877,0.8773999810218811,0.8849999904632568,0.8980000019073486,0.864799976348877,0.8832714217049735,0.013490827587034713
1000,0.843999981880188,0.8511999845504761,0.9042999744415284,0.8946999907493591,0.8652999997138977,0.9042999744415284,0.843999981880188,0.8725428410938808,0.02655211656560797
1500,0.6836000084877014,0.907800018787384,0.8105000257492065,0.8748000264167786,0.9050999879837036,0.907800018787384,0.6836000084877014,0.8247428706714085,0.09395590872631757
2000,0.9121999740600586,0.9041000008583068,0.8815000057220459,0.9032999873161316,0.894599974155426,0.9121999740600586,0.8815000057220459,0.8984857031277248,0.011664596630715162
