S,r1,r2,r3,r4,r5,vmax,vmin,vmean,sigma
1,0.908900022506714,0.9244999885559082,0.9143999814987184,0.9018999934196472,0.9090999960899352,0.9244999885559082,0.9018999934196472,0.9121714234352112,0.008392729480723863
2,0.883400022983551,0.8815000057220459,0.8418999910354614,0.8741000294685364,0.8704000115394592,0.883400022983551,0.8418999910354614,0.8680857249668666,0.016718653285015615
3,0.7773000001907349,0.7718999981880188,0.7785000205039978,0.7753999829292297,0.7878000140190125,0.7878000140190125,0.7718999981880188,0.778657146862575,0.005928498970765975
4,0.6328999996185303,0.6456999778747559,0.6383000016212463,0.6478000283241272,0.6345000267028809,0.6478000283241272,0.6328999996185303,0.6399857231548854,0.006647403755012396
5,0.3808000087738037,0.3811999857425689,0.3763000071048736,0.3808000087738037,0.3977999985218048,0.3977999985218048,0.3763000071048736,0.38442857350621906,0.008308547231330211
