N,r1,r2,r3,r4,r5,vmax,vmin,vmean,sigma
20,0.4535000026226043,0.4519000053405761,0.426800012588501,0.4842999875545501,0.4603999853134155,0.4842999875545501,0.426800012588501,0.4554285705089569,0.020579275777540793
80,0.6876000165939331,0.7045000195503235,0.6775000095367432,0.7150999903678894,0.6420999765396118,0.7150999903678894,0.6420999765396118,0.6834285684994289,0.028235766899828523
100,0.7396000027656555,0.7235000133514404,0.765500009059906,0.7462999820709229,0.7261999845504761,0.765500009059906,0.7235000133514404,0.741442859172821,0.01697460031455199
500,0.9251999855041504,0.9235000014305116,0.9075999855995178,0.9106000065803528,0.9025999903678894,0.9251999855041504,0.9025999903678894,0.9138999921934945,0.009976473018575216
800,0.9103999733924866,0.9333999752998352,0.9387999773025512,0.9146999716758728,0.932200014591217,0.9387999773025512,0.9103999733924866,0.9255285518510001,0.012530369977053321
1000,0.9466999769210817,0.911899983882904,0.948099970817566,0.9307000041007996,0.9437999725341796,0.948099970817566,0.911899983882904,0.9344571232795715,0.015250829066337615
1500,0.9495999813079834,0.9434000253677368,0.9526000022888184,0.9509000182151794,0.9538999795913696,0.9538999795913696,0.9434000253677368,0.9496714302471706,0.004076382112845659
2000,0.9164000153541564,0.9182999730110168,0.9508000016212464,0.9560999870300292,0.9517999887466432,0.9560999870300292,0.9164000153541564,0.9379857097353254,0.019584609442288604
