N,r1,r2,r3,r4,r5,vmax,vmin,vmean,sigma
20,0.4650000035762787,0.3914999961853027,0.3605000078678131,0.4501999914646148,0.4291999936103821,0.4650000035762787,0.3605000078678131,0.4174142863069262,0.0429289731982415
80,0.6049000024795532,0.5938000082969666,0.0979999974370002,0.6951000094413757,0.6593999862670898,0.6951000094413757,0.0979999974370002,0.49204285868576597,0.24510535245387072
100,0.7620999813079834,0.7092999815940857,0.7264000177383423,0.6409000158309937,0.7075999975204468,0.7620999813079834,0.6409000158309937,0.7070428558758327,0.04405022268685342
500,0.8871999979019165,0.885200023651123,0.8841999769210815,0.8845000267028809,0.8715000152587891,0.8871999979019165,0.8715000152587891,0.8816142933709281,0.006270322938816719
800,0.8942999839782715,0.9009000062942504,0.8995000123977661,0.9020000100135804,0.8948000073432922,0.9020000100135804,0.8942999839782715,0.898257144859859,0.0035404877261664917
1000,0.9063000082969666,0.9047999978065492,0.8791000247001648,0.901199996471405,0.9024999737739564,0.9063000082969666,0.8791000247001648,0.8970428620065961,0.011177957259490244
1500,0.9104999899864196,0.8964999914169312,0.9078999757766724,0.910099983215332,0.890999972820282,0.9104999899864196,0.890999972820282,0.9024999822889056,0.00889831687276511
2000,0.89410001039505,0.9143999814987184,0.8858000040054321,0.9114999771118164,0.9138000011444092,0.9143999814987184,0.8858000040054321,0.9028285656656537,0.013130755295555298
