N,r1,r2,r3,r4,r5,vmax,vmin,vmean,sigma
20,0.8385999798774719,0.8518999814987183,0.8485000133514404,0.8605999946594238,0.8485000133514404,0.8605999946594238,0.8385999798774719,0.8496142796107701,0.007901078756129458
80,0.901199996471405,0.9020000100135804,0.888700008392334,0.909500002861023,0.9017000198364258,0.909500002861023,0.888700008392334,0.9001857212611607,0.0074891240664349285
100,0.8960999846458435,0.9024999737739564,0.9006999731063843,0.899399995803833,0.9050999879837036,0.9050999879837036,0.8960999846458435,0.9007142697061811,0.0033701617978161213
500,0.930899977684021,0.9352999925613404,0.9307000041007996,0.9282000064849854,0.9337000250816344,0.9352999925613404,0.9282000064849854,0.9317571435655866,0.002776329779086018
800,0.9355999827384948,0.9314000010490416,0.9406999945640564,0.939300000667572,0.9341999888420104,0.9406999945640564,0.9314000010490416,0.9361857090677533,0.0037832530004538447
1000,0.9390000104904176,0.9373999834060668,0.9412000179290771,0.9362999796867372,0.9348999857902528,0.9412000179290771,0.9348999857902528,0.9378428544316973,0.0024398925135965597
1500,0.9391000270843506,0.942799985408783,0.9383999705314636,0.9437000155448914,0.9336000084877014,0.9437000155448914,0.9336000084877014,0.9392714330128261,0.0040220634319745865
2000,0.9401999711990356,0.9427000284194946,0.9395999908447266,0.9462000131607056,0.942900002002716,0.9462000131607056,0.9395999908447266,0.9424857156617301,0.002618601629291379
