N,r1,r2,r3,r4,r5,vmax,vmin,vmean,sigma
20,0.6861000061035156,0.7092000246047974,0.6765999794006348,0.6819000244140625,0.6615999937057495,0.7092000246047974,0.6615999937057495,0.6837428637913295,0.01729269934085609
80,0.7549999952316284,0.8483999967575073,0.7807000279426575,0.8166999816894531,0.7628999948501587,0.8483999967575073,0.7549999952316284,0.7952999983515058,0.03915293972361943
100,0.7289000153541565,0.7135999798774719,0.7746999859809875,0.6722999811172485,0.734499990940094,0.7746999859809875,0.6722999811172485,0.7244285600525993,0.037022293906776076
500,0.8391000032424927,0.8266000151634216,0.8655999898910522,0.8691999912261963,0.9054999947547911,0.9054999947547911,0.8266000151634216,0.8625857148851667,0.030542667341394658
800,0.8942999839782715,0.8600999712944031,0.7533000111579895,0.8282999992370605,0.8978000283241272,0.8978000283241272,0.7533000111579895,0.8407000047819955,0.05941092185918755
1000,0.904699981212616,0.8968999981880188,0.890500009059906,0.8568999767303467,0.8715000152587891,0.904699981212616,0.8568999767303467,0.8831571340560913,0.01954328642327493
1500,0.8792999982833862,0.9108999967575072,0.8514000177383423,0.8924000263214111,0.895799994468689,0.9108999967575072,0.8514000177383423,0.8845857211521694,0.02235537332063556
2000,0.9247000217437744,0.9041000008583068,0.8817999958992004,0.8991000056266785,0.9060999751091005,0.9247000217437744,0.8817999958992004,0.9031857166971479,0.01538044961530383
