N,r1,r2,r3,r4,r5,vmax,vmin,vmean,sigma
20,0.3616000115871429,0.2757999897003174,0.3278000056743622,0.2782000005245209,0.1999000012874603,0.3616000115871429,0.1999000012874603,0.2864000030926296,0.06124809009248093
80,0.5662000179290771,0.4699000120162964,0.4866000115871429,0.4612999856472015,0.4693000018596649,0.5662000179290771,0.4612999856472015,0.4972571475165231,0.04322040860251333
100,0.6151999831199646,0.5936999917030334,0.5759999752044678,0.5629000067710876,0.6259999871253967,0.6259999871253967,0.5629000067710876,0.5946714196886335,0.02627665799718319
500,0.866100013256073,0.8716999888420105,0.8841000199317932,0.8805000185966492,0.8730000257492065,0.8841000199317932,0.866100013256073,0.8750857285090855,0.007195976156684557
800,0.9006999731063843,0.9079999923706056,0.9007999897003174,0.9017000198364258,0.0979999974370002,0.9079999923706056,0.0979999974370002,0.6735999946083341,0.3599302318810938
1000,0.9064000248908995,0.9057000279426576,0.9099000096321106,0.9023000001907348,0.9136000275611876,0.9136000275611876,0.9023000001907348,0.9076857311385018,0.004313589303272936
1500,0.9110000133514404,0.0979999974370002,0.9117000102996826,0.9172000288963318,0.9132000207901,0.9172000288963318,0.0979999974370002,0.6809000138725553,0.36460998182644244
2000,0.9175999760627748,0.9172000288963318,0.9164999723434448,0.9158999919891356,0.916599988937378,0.9175999760627748,0.9158999919891356,0.9167571323258537,0.0006580305685107808
