S,r1,r2,r3,r4,r5,vmax,vmin,vmean,sigma
1,0.907800018787384,0.09799999743700027,0.8978999853134155,0.8984000086784363,0.9214000105857849,0.9214000105857849,0.09799999743700027,0.6775571469749723,0.36164185714330255
2,0.8377000093460083,0.8381999731063843,0.8414999842643738,0.8317000269889832,0.849399983882904,0.849399983882904,0.8317000269889832,0.839942855494363,0.0064726200675443955
3,0.6743999719619751,0.6980999708175659,0.7642999887466431,0.7756999731063843,0.7710999846458435,0.7756999731063843,0.6743999719619751,0.7333856906209674,0.04700364341090394
4,0.6241000294685364,0.5149000287055969,0.5430999994277954,0.6172999739646912,0.49900001287460327,0.6241000294685364,0.49900001287460327,0.5602142981120518,0.057948694295166324
5,0.34869998693466187,0.40549999475479126,0.36410000920295715,0.23109999299049377,0.3465000092983246,0.40549999475479126,0.23109999299049377,0.33321428298950195,0.06489385403389447
