S,r1,r2,r3,r4,r5,vmax,vmin,vmean,sigma
1,0.9090999960899352,0.9067000150680542,0.9121999740600586,0.9067000150680542,0.899399995803833,0.9121999740600586,0.899399995803833,0.9065285665648324,0.004723022287051584
2,0.8695999979972839,0.879800021648407,0.8562999963760376,0.8690999746322632,0.8467000126838684,0.879800021648407,0.8467000126838684,0.8640000053814479,0.01289515430165602
3,0.75,0.7487999796867371,0.7692999839782715,0.7164000272750854,0.7522000074386597,0.7692999839782715,0.7164000272750854,0.7460571442331586,0.019185604118282986
4,0.5824000239372253,0.5460000038146973,0.5365999937057495,0.5659000277519226,0.5752000212669373,0.5824000239372253,0.5365999937057495,0.5607285840170724,0.019388979229015592
5,0.3628999888896942,0.3578000068664551,0.3565999865531921,0.3375000059604645,0.3239000141620636,0.3628999888896942,0.3239000141620636,0.34650000078337534,0.016452437248734988
