N,r1,r2,r3,r4,r5,vmax,vmin,vmean,sigma
20,0.92330002784729,0.9210000038146973,0.9207000136375427,0.919700026512146,0.9225000143051147,0.92330002784729,0.919700026512146,0.9214571629251752,0.0014449929166260324
80,0.920799970626831,0.9185000061988831,0.919700026512146,0.9200000166893005,0.9229999780654907,0.9229999780654907,0.9185000061988831,0.920499997479575,0.0016718095301333816
100,0.9205999970436096,0.9171000123023987,0.9218999743461609,0.9200000166893005,0.9179999828338623,0.9218999743461609,0.9171000123023987,0.9195142814091274,0.0019511458278685355
500,0.9193999767303467,0.91839998960495,0.9193999767303467,0.9199000000953674,0.9211999773979187,0.9211999773979187,0.91839998960495,0.9196999839373997,0.0010188204979007882
800,0.9132000207901001,0.9186999797821045,0.9106000065803528,0.9197999835014343,0.9025999903678894,0.9197999835014343,0.9025999903678894,0.912471422127315,0.006940600144364275
1000,0.9067000150680542,0.9049000144004822,0.902999997138977,0.9146000146865845,0.8996999859809875,0.9146000146865845,0.8996999859809875,0.9061714325632367,0.005570198556400532
1500,0.9161999821662903,0.9010000228881836,0.9190999865531921,0.9151999950408936,0.916700005531311,0.9190999865531921,0.9010000228881836,0.9126142859458923,0.007209909874944003
2000,0.9218999743461609,0.9186999797821045,0.9189000129699707,0.9023000001907349,0.9180999994277954,0.9218999743461609,0.9023000001907349,0.9148714201790946,0.0077879338462486765
