N,r1,r2,r3,r4,r5,vmax,vmin,vmean,sigma
20,0.9526000022888184,0.951200008392334,0.9534000158309937,0.9591000080108644,0.958299994468689,0.9591000080108644,0.951200008392334,0.9549857207706997,0.003550630521263574
80,0.95770001411438,0.9513999819755554,0.9595999717712402,0.9606000185012816,0.9537000060081482,0.9606000185012816,0.9513999819755554,0.9564285704067775,0.003926199253030284
100,0.95660001039505,0.958299994468689,0.9585999846458436,0.958400011062622,0.9562000036239624,0.9585999846458436,0.9562000036239624,0.9575571417808533,0.001127824026999759
500,0.9537000060081482,0.9538000226020812,0.949400007724762,0.948199987411499,0.9585000276565552,0.9585000276565552,0.948199987411499,0.9529000094958714,0.00409232338699163
800,0.9581000208854676,0.9524000287055968,0.9472000002861024,0.9478999972343444,0.9431999921798706,0.9581000208854676,0.9431999921798706,0.9500142931938171,0.005691498294817983
1000,0.9463000297546388,0.9431999921798706,0.9495999813079834,0.9544000029563904,0.9388999938964844,0.9544000029563904,0.9388999938964844,0.946528570992606,0.00593102148263808
1500,0.9466999769210817,0.9495999813079834,0.9467999935150146,0.9553999900817872,0.9437999725341796,0.9553999900817872,0.9437999725341796,0.948785696710859,0.004388398867101447
2000,0.9531000256538392,0.9477999806404114,0.9466999769210817,0.9517999887466432,0.9527999758720398,0.9531000256538392,0.9466999769210817,0.9502857072012765,0.002977090309177284
