N,r1,r2,r3,r4,r5,vmax,vmin,vmean,sigma
20,0.8159000277519226,0.8068000078201294,0.7817000150680542,0.8282999992370605,0.8238000273704529,0.8282999992370605,0.7817000150680542,0.809500013078962,0.018458195681253016
80,0.8428999781608582,0.8409000039100647,0.852400004863739,0.8467000126838684,0.8360000252723694,0.852400004863739,0.8360000252723694,0.8439000078610012,0.006173082305515881
100,0.8393999934196472,0.8476999998092651,0.8439000248908997,0.8427000045776367,0.8435999751091003,0.8476999998092651,0.8393999934196472,0.8434857130050659,0.0029686722534184953
500,0.8888999819755554,0.8912000060081482,0.8885999917984009,0.8960000276565552,0.8982999920845032,0.8982999920845032,0.8885999917984009,0.8928428547722953,0.0043502953922703634
800,0.906000018119812,0.902999997138977,0.9041000008583068,0.9018999934196472,0.9061999917030334,0.9061999917030334,0.9018999934196472,0.9041857123374939,0.0018689615371336912
1000,0.9093000292778016,0.9075000286102296,0.9065999984741212,0.9088000059127808,0.9063000082969666,0.9093000292778016,0.9063000082969666,0.9077285868780953,0.0013209916142053874
1500,0.9114999771118164,0.911300003528595,0.9146999716758728,0.910700023174286,0.9110000133514404,0.9146999716758728,0.910700023174286,0.9120857119560242,0.0016272503244208994
2000,0.9136000275611876,0.9182000160217284,0.9139999747276306,0.9143999814987184,0.9153000116348268,0.9182000160217284,0.9136000275611876,0.9153285792895726,0.0018439158608920664
