N,r1,r2,r3,r4,r5,vmax,vmin,vmean,sigma
20,0.3007999956607818,0.3650999963283539,0.3598000109195709,0.33629998564720154,0.36640000343322754,0.36640000343322754,0.3007999956607818,0.342228570154735,0.02787484962641941
80,0.5515000224113464,0.5648000240325928,0.54339998960495,0.5637999773025513,0.5626999735832214,0.5648000240325928,0.54339998960495,0.5563428572246006,0.00941397641231043
100,0.5934000015258789,0.5843999981880188,0.5892999768257141,0.5839999914169312,0.5238000154495239,0.5934000015258789,0.5238000154495239,0.5703000000544957,0.02886973164974466
500,0.8371000289916992,0.8521000146865845,0.8536999821662903,0.8411999940872192,0.847000002861023,0.8536999821662903,0.8371000289916992,0.8459857191358294,0.007062355147933486
800,0.8769000172615051,0.8726999759674072,0.8792999982833862,0.8722000122070312,0.8755999803543091,0.8792999982833862,0.8722000122070312,0.8754571420805795,0.0029585503324200844
1000,0.8838000297546387,0.8815000057220459,0.8776999711990356,0.8727999925613403,0.8791999816894531,0.8838000297546387,0.8727999925613403,0.8788000004632133,0.004167147527220947
1500,0.892300009727478,0.8894000053405762,0.8920000195503235,0.8960999846458435,0.8934000134468079,0.8960999846458435,0.8894000053405762,0.8926714318139213,0.0024275423756888476
2000,0.8981000185012817,0.8984000086784363,0.8971999883651733,0.8925999999046326,0.8977000117301941,0.8984000086784363,0.8925999999046326,0.8964285765375409,0.0023906112441406022
