N,r1,r2,r3,r4,r5,vmax,vmin,vmean,sigma
20,0.9232000112533568,0.921999990940094,0.9211000204086304,0.9215999841690063,0.9233999848365784,0.9233999848365784,0.9211000204086304,0.9222571424075535,0.001003987654909348
80,0.923799991607666,0.9241999983787537,0.9207000136375427,0.9180999994277954,0.919700026512146,0.9241999983787537,0.9180999994277954,0.9212571467672076,0.0026372263409726367
100,0.9228000044822692,0.9215999841690063,0.9185000061988831,0.9172999858856201,0.9240000247955322,0.9240000247955322,0.9172999858856201,0.9207857166017804,0.0028465866022001863
500,0.917900025844574,0.9197999835014343,0.9129999876022339,0.9189000129699707,0.9200000166893005,0.9200000166893005,0.9129999876022339,0.9175142901284354,0.0028735062978728827
800,0.9046000242233276,0.9136999845504761,0.9172999858856201,0.9187999963760376,0.919700026512146,0.919700026512146,0.9046000242233276,0.9140571526118687,0.006154423193693212
1000,0.9169999957084656,0.9193000197410583,0.9124000072479248,0.9136999845504761,0.9147999882698059,0.9193000197410583,0.9124000072479248,0.9155571460723877,0.00273916792675371
1500,0.916100025177002,0.914900004863739,0.9146000146865845,0.9117000102996826,0.9143999814987183,0.916100025177002,0.9117000102996826,0.9142142960003444,0.0016164811401648998
2000,0.9157000184059144,0.9114000201225281,0.9180999994277954,0.9136000275611877,0.9174000024795532,0.9180999994277954,0.9114000201225281,0.9151000125067574,0.00276096810154403
