N,r1,r2,r3,r4,r5,vmax,vmin,vmean,sigma
20,0.8366000056266785,0.8400999903678894,0.8320000171661377,0.8222000002861023,0.8278999924659729,0.8400999903678894,0.8222000002861023,0.8315857137952533,0.007059248450353465
80,0.8723999857902527,0.8798999786376953,0.8730999827384949,0.873199999332428,0.8763999938964844,0.8798999786376953,0.8723999857902527,0.8753285578319004,0.0031456285320869692
100,0.8831999897956848,0.8870999813079834,0.8772000074386597,0.8819000124931335,0.8773999810218811,0.8870999813079834,0.8772000074386597,0.8815857086862836,0.0041716858035534005
500,0.9132999777793884,0.9083999991416932,0.9060999751091005,0.909600019454956,0.9100000262260436,0.9132999777793884,0.9060999751091005,0.9095428500856672,0.002620497676845242
800,0.9146000146865844,0.9139000177383424,0.9126999974250792,0.9108999967575072,0.9132000207901,0.9146000146865844,0.9108999967575072,0.9129714369773865,0.0014046437909987408
1000,0.9168999791145324,0.9174000024795532,0.915000021457672,0.9162999987602234,0.9150999784469604,0.9174000024795532,0.915000021457672,0.9161571434565953,0.0010691082749137001
1500,0.9193999767303468,0.9207000136375428,0.9176999926567078,0.9212999939918518,0.9156000018119812,0.9212999939918518,0.9156000018119812,0.9187999963760376,0.002322283593021737
2000,0.920799970626831,0.9182999730110168,0.9192000031471252,0.9214000105857848,0.9207000136375428,0.9214000105857848,0.9182999730110168,0.9200142792293003,0.0012833640464841162
