N,r1,r2,r3,r4,r5,vmax,vmin,vmean,sigma
20,0.12039999663829803,0.13040000200271606,0.10029999911785126,0.0934000015258789,0.11500000208616257,0.13040000200271606,0.0934000015258789,0.11190000069992882,0.015007664657551842
80,0.14640000462532043,0.21490000188350677,0.10610000044107437,0.13850000500679016,0.060600001364946365,0.21490000188350677,0.060600001364946365,0.13457143093858445,0.05675019880622598
100,0.1573999971151352,0.09799999743700027,0.12800000607967377,0.12970000505447388,0.09749999642372131,0.1573999971151352,0.09749999642372131,0.12364285652126585,0.02512283943099329
500,0.09399999678134918,0.09369999915361404,0.11389999836683273,0.12600000202655792,0.11779999732971191,0.12600000202655792,0.09369999915361404,0.10929999926260539,0.014573161370945916
800,0.10189999639987946,0.12710000574588776,0.09139999747276306,0.13230000436306,0.0982000008225441,0.13230000436306,0.09139999747276306,0.11065714380570821,0.018305385288867472
1000,0.0982000008225441,0.10899999737739563,0.10719999670982361,0.16850000619888306,0.1039000004529953,0.16850000619888306,0.0982000008225441,0.12192857265472412,0.028882056285060548
1500,0.12780000269412994,0.12349999696016312,0.0869000032544136,0.13189999759197235,0.13120000064373016,0.13189999759197235,0.0869000032544136,0.11715714314154216,0.018943414171030695
2000,0.19850000739097595,0.09669999778270721,0.10270000249147415,0.18549999594688416,0.10700000077486038,0.19850000739097595,0.09669999778270721,0.14080000136579787,0.049571283188377384
