N,r1,r2,r3,r4,r5,vmax,vmin,vmean,sigma
20,0.29899999499320984,0.2215999960899353,0.23639999330043793,0.1907999962568283,0.2513999938964844,0.29899999499320984,0.1907999962568283,0.2412857093981334,0.039946814085561756
80,0.3953000009059906,0.38960000872612,0.3788999915122986,0.35740000009536743,0.39010000228881836,0.3953000009059906,0.35740000009536743,0.38057142921856474,0.01512193968967097
100,0.38499999046325684,0.3531000018119812,0.3059999942779541,0.3391999900341034,0.31790000200271606,0.38499999046325684,0.3059999942779541,0.34174285190446035,0.03098939946162422
500,0.7178000211715698,0.7301999926567078,0.7253000140190125,0.714900016784668,0.7005000114440918,0.7301999926567078,0.7005000114440918,0.7170571514538356,0.011376417951012715
800,0.7809000015258789,0.7943000197410583,0.7846999764442444,0.7940000295639038,0.7824000120162964,0.7943000197410583,0.7809000015258789,0.7873571515083313,0.006434529137300368
1000,0.8101000189781189,0.8008999824523926,0.8238999843597412,0.830299973487854,0.8151000142097473,0.830299973487854,0.8008999824523926,0.8159285613468715,0.011516415221739641
1500,0.8562999963760376,0.8543999791145325,0.857699990272522,0.859499990940094,0.8533999919891357,0.859499990940094,0.8533999919891357,0.8563142759459359,0.0024602863910021663
2000,0.8790000081062317,0.8740000128746033,0.8730999827384949,0.8792999982833862,0.8712000250816345,0.8792999982833862,0.8712000250816345,0.875300007207053,0.00364101228980678
