N,r1,r2,r3,r4,r5,vmax,vmin,vmean,sigma
20,0.9212999939918518,0.9222000241279602,0.9174000024795532,0.9205999970436096,0.911899983882904,0.9222000241279602,0.911899983882904,0.9182142870766776,0.0041996529388349906
80,0.9169999957084656,0.914799988269806,0.9169999957084656,0.9199000000953674,0.9182000160217284,0.9199000000953674,0.914799988269806,0.917371426309858,0.0018686956552397265
100,0.9140999913215636,0.9041000008583068,0.9180999994277954,0.9153000116348268,0.9156000018119812,0.9180999994277954,0.9041000008583068,0.9127714293343681,0.0054201480212230126
500,0.9196000099182128,0.9093999862670898,0.9120000004768372,0.91430002450943,0.9169999957084656,0.9196000099182128,0.9093999862670898,0.9144714304379055,0.00401721946584563
800,0.9092000126838684,0.9139000177383424,0.9053000211715698,0.911899983882904,0.9057000279426576,0.9139000177383424,0.9053000211715698,0.9093143003327506,0.0037696060461410493
1000,0.8984000086784363,0.9114999771118164,0.906499981880188,0.0979999974370002,0.8858000040054321,0.9114999771118164,0.0979999974370002,0.6728142776659557,0.3590427151907318
1500,0.9120000004768372,0.9126999974250792,0.909600019454956,0.9121999740600586,0.8841999769210815,0.9126999974250792,0.8841999769210815,0.903942848954882,0.01232307596286444
2000,0.91430002450943,0.916700005531311,0.8888000249862671,0.9126999974250792,0.911899983882904,0.916700005531311,0.8888000249862671,0.9071285809789386,0.011373733245124968
