N,r1,r2,r3,r4,r5,vmax,vmin,vmean,sigma
20,0.4555999934673309,0.4507000148296356,0.3995999991893768,0.4345000088214874,0.3540000021457672,0.4555999934673309,0.3540000021457672,0.41485714486667086,0.04238510496744468
80,0.6173999905586243,0.6660000085830688,0.5375999808311462,0.621999979019165,0.6363000273704529,0.6660000085830688,0.5375999808311462,0.6118428536823818,0.047687830452854636
100,0.6845999956130981,0.7074999809265137,0.715499997138977,0.6585999727249146,0.7019000053405762,0.715499997138977,0.6585999727249146,0.6917428459439959,0.022625811716096445
500,0.8683000206947327,0.8806999921798706,0.8898000121116638,0.887499988079071,0.8934999704360962,0.8934999704360962,0.8683000206947327,0.8830857106617519,0.00991855452944866
800,0.894599974155426,0.9046000242233276,0.9046000242233276,0.8982999920845032,0.9028000235557556,0.9046000242233276,0.894599974155426,0.9005857195172992,0.004399113794354723
1000,0.901799976825714,0.904699981212616,0.906000018119812,0.8960999846458435,0.9046000242233276,0.906000018119812,0.8960999846458435,0.9021857125418526,0.003963974617846407
1500,0.9099000096321106,0.9082000255584716,0.9082000255584716,0.901099979877472,0.9107999801635742,0.9107999801635742,0.901099979877472,0.9071571401187352,0.003824010938356553
2000,0.9118000268936156,0.9121999740600586,0.9132000207901,0.9121999740600586,0.907800018787384,0.9132000207901,0.907800018787384,0.9111714363098145,0.0020995164275249907
