N,r1,r2,r3,r4,r5,vmax,vmin,vmean,sigma
20,0.3644999861717224,0.34389999508857727,0.384799987077713,0.35019999742507935,0.3749000132083893,0.384799987077713,0.34389999508857727,0.36385713730539593,0.01692314975673527
80,0.4909000098705292,0.5839999914169312,0.5501000285148621,0.5092999935150146,0.635200023651123,0.635200023651123,0.4909000098705292,0.5565142972128732,0.05806957561200631
100,0.6287000179290771,0.7408999800682068,0.6915000081062317,0.6876000165939331,0.705299973487854,0.7408999800682068,0.6287000179290771,0.6890857134546552,0.040581384008988704
500,0.8812000155448914,0.8953999876976013,0.8384000062942505,0.8866000175476074,0.8233000040054321,0.8953999876976013,0.8233000040054321,0.8633714318275452,0.03201409004665864
800,0.9025999903678894,0.8806999921798706,0.8770999908447266,0.8895000219345093,0.9039999842643738,0.9039999842643738,0.8770999908447266,0.8907142792429242,0.01229702919649272
1000,0.8774999976158142,0.8831999897956848,0.8543000221252441,0.9034000039100647,0.9089999794960022,0.9089999794960022,0.8543000221252441,0.884385713509151,0.02188256086751928
1500,0.9144999980926514,0.8845999836921692,0.9107000231742859,0.8702999949455261,0.9150999784469604,0.9150999784469604,0.8702999949455261,0.8972285645348685,0.020416859152842366
2000,0.8765000104904175,0.9007999897003174,0.9164999723434448,0.8913000226020813,0.9078999757766724,0.9164999723434448,0.8765000104904175,0.8979999933923993,0.015438893421792712
