N,r1,r2,r3,r4,r5,vmax,vmin,vmean,sigma
20,0.3758000135421753,0.3115000128746032,0.2860000133514404,0.3468999862670898,0.2601000070571899,0.3758000135421753,0.2601000070571899,0.3166000076702663,0.04630305351979522
80,0.4993999898433685,0.535099983215332,0.519599974155426,0.5569999814033508,0.490799993276596,0.5569999814033508,0.490799993276596,0.5213856995105743,0.026802271396690374
100,0.6718999743461609,0.5476999878883362,0.5321999788284302,0.5654000043869019,0.5400999784469604,0.6718999743461609,0.5321999788284302,0.5801999824387687,0.05747662651729113
500,0.8655999898910522,0.8655999898910522,0.8611000180244446,0.7552000284194946,0.8661999702453613,0.8661999702453613,0.7552000284194946,0.8335857135908944,0.048979243985909166
800,0.8953999876976013,0.8999999761581421,0.9006999731063843,0.8952000141143799,0.8937000036239624,0.9006999731063843,0.8937000036239624,0.8970571330615452,0.003137659261898013
1000,0.9014000296592712,0.9045000076293944,0.8974999785423279,0.9081000089645386,0.9045000076293944,0.9081000089645386,0.8974999785423279,0.9030857171331134,0.0039724131636431435
1500,0.915499985218048,0.9104999899864196,0.8967000246047974,0.9132999777793884,0.9088000059127808,0.915499985218048,0.8967000246047974,0.9081428561891828,0.007319681989933182
2000,0.9153000116348268,0.914799988269806,0.9174000024795532,0.9125999808311462,0.925599992275238,0.925599992275238,0.9125999808311462,0.9176999926567078,0.005027724552949346
