N,r1,r2,r3,r4,r5,vmax,vmin,vmean,sigma
20,0.3944999873638153,0.3558000028133392,0.3578000068664551,0.4323999881744385,0.3589000105857849,0.4323999881744385,0.3558000028133392,0.3839428552559444,0.03346500226157483
80,0.5454000234603882,0.6028000116348267,0.5583999752998352,0.5748999714851379,0.3935000002384186,0.6028000116348267,0.3935000002384186,0.5244714277131217,0.08195550403532159
100,0.5871000289916992,0.4189000129699707,0.5837000012397766,0.5946999788284302,0.6425999999046326,0.6425999999046326,0.4189000129699707,0.5555000049727303,0.08527361292925965
500,0.8852999806404114,0.8878999948501587,0.8877999782562256,0.8927000164985657,0.886900007724762,0.8927000164985657,0.8852999806404114,0.8883714250155857,0.0027644284060894457
800,0.9064000248908995,0.9099000096321106,0.8723999857902527,0.9101999998092652,0.9049999713897704,0.9101999998092652,0.8723999857902527,0.898071425301688,0.016021306258749656
1000,0.9097999930381776,0.913699984550476,0.9096999764442444,0.9121000170707704,0.8870999813079834,0.913699984550476,0.8870999813079834,0.9047428454671588,0.010962304677420237
1500,0.9164000153541564,0.9154000282287598,0.916800022125244,0.904699981212616,0.916700005531311,0.916800022125244,0.904699981212616,0.9130714365414211,0.005228304121740209
2000,0.9079999923706056,0.9100000262260436,0.916700005531311,0.9211000204086304,0.923799991607666,0.923799991607666,0.9079999923706056,0.9159142885889325,0.006843023785822428
