N,r1,r2,r3,r4,r5,vmax,vmin,vmean,sigma
20,0.289000004529953,0.28619998693466187,0.25920000672340393,0.39149999618530273,0.3546000123023987,0.39149999618530273,0.25920000672340393,0.31874285851206097,0.05484851899251507
80,0.5511999726295471,0.501800000667572,0.44519999623298645,0.5662999749183655,0.5464000105857849,0.5662999749183655,0.44519999623298645,0.5174857037408012,0.04928642121251851
100,0.46939998865127563,0.5575000047683716,0.5656999945640564,0.5615000128746033,0.4350000023841858,0.5656999945640564,0.4350000023841858,0.5128285714558193,0.06119352434427117
500,0.8712000250816345,0.8777999877929688,0.869700014591217,0.8618000149726868,0.883899986743927,0.883899986743927,0.8618000149726868,0.8728714329855782,0.008386701956833406
800,0.8974999785423279,0.8960999846458435,0.8909000158309937,0.899399995803833,0.906000018119812,0.906000018119812,0.8909000158309937,0.8981142895562308,0.005482429500004462
1000,0.9054999947547913,0.9049999713897705,0.9092000126838684,0.901199996471405,0.9043999910354614,0.9092000126838684,0.901199996471405,0.9050999964986529,0.0028579775591618737
1500,0.9122999906539917,0.9085000157356262,0.9128999710083008,0.9171000123023987,0.9138000011444092,0.9171000123023987,0.9085000157356262,0.9128857169832502,0.003089011917640776
2000,0.917900025844574,0.9144999980926514,0.914900004863739,0.9186000227928162,0.916100025177002,0.9186000227928162,0.9144999980926514,0.91644287109375,0.001805557765158007
