N,r1,r2,r3,r4,r5,vmax,vmin,vmean,sigma
20,0.9552000164985656,0.9453999996185304,0.9538000226020812,0.930299997329712,0.9416000247001648,0.9552000164985656,0.930299997329712,0.9445428677967617,0.010111288407254178
80,0.9470999836921692,0.9433000087738036,0.9473999738693236,0.9487000107765198,0.9562000036239624,0.9562000036239624,0.9433000087738036,0.9488857133047921,0.004731069476442517
100,0.9473999738693236,0.9484000205993652,0.9495999813079834,0.9484999775886536,0.9564999938011168,0.9564999938011168,0.9473999738693236,0.9506142735481262,0.0036724678357518657
500,0.9361000061035156,0.9311000108718872,0.9355000257492064,0.9308000206947328,0.9427000284194946,0.9427000284194946,0.9308000206947328,0.9356714487075806,0.004829911337654359
800,0.9287999868392944,0.9362999796867372,0.94650000333786,0.9218999743461608,0.9218999743461608,0.94650000333786,0.9218999743461608,0.9319714137486049,0.010473405521743138
1000,0.9355999827384948,0.9343000054359436,0.9282000064849854,0.9352999925613404,0.9316999912261964,0.9355999827384948,0.9282000064849854,0.9326999953814915,0.0031011228440015366
1500,0.916100025177002,0.9355000257492064,0.0979999974370002,0.9340000152587892,0.917900025844574,0.9355000257492064,0.0979999974370002,0.6907143018075398,0.3703442498911449
2000,0.869700014591217,0.8622000217437744,0.8840000033378601,0.8439000248908997,0.8603000044822693,0.8840000033378601,0.8439000248908997,0.8640000138963971,0.014606738043042617
