N,r1,r2,r3,r4,r5,vmax,vmin,vmean,sigma
20,0.8033000230789185,0.8260999917984009,0.8039000034332275,0.7876999974250793,0.8374999761581421,0.8374999761581421,0.7876999974250793,0.8119571379252842,0.019877111308407358
80,0.8823000192642212,0.8611999750137329,0.8507999777793884,0.8646000027656555,0.88919997215271,0.88919997215271,0.8507999777793884,0.8697285567011152,0.01576743976861698
100,0.8662999868392944,0.8956000208854675,0.8817999958992004,0.8812999725341797,0.8877999782562256,0.8956000208854675,0.8662999868392944,0.8820999945913043,0.010770942626494008
500,0.914799988269806,0.9185000061988832,0.9251999855041504,0.9226999878883362,0.9187999963760376,0.9251999855041504,0.914799988269806,0.9199999911444527,0.004032985740594284
800,0.9323999881744384,0.9319999814033508,0.9315999746322632,0.9318000078201294,0.9372000098228456,0.9372000098228456,0.9315999746322632,0.9333999923297337,0.002366441746495328
1000,0.9194999933242798,0.9254000186920166,0.9282000064849854,0.9257000088691713,0.9344000220298768,0.9344000220298768,0.9194999933242798,0.9267285806792123,0.005386380845159298
1500,0.9358999729156494,0.934499979019165,0.9312000274658204,0.9363999962806702,0.9373999834060668,0.9373999834060668,0.9312000274658204,0.9348571385656085,0.002407679379177633
2000,0.9332000017166138,0.9377999901771544,0.944000005722046,0.9343000054359436,0.9244999885559082,0.944000005722046,0.9244999885559082,0.9346142836979457,0.007115691647630756
