N,r1,r2,r3,r4,r5,vmax,vmin,vmean,sigma
20,0.465499997138977,0.4242999851703644,0.4442000091075897,0.1107999980449676,0.3964000046253204,0.465499997138977,0.1107999980449676,0.345357141324452,0.14615102841881197
80,0.6014000177383423,0.0979999974370002,0.6786999702453613,0.6960999965667725,0.6771000027656555,0.6960999965667725,0.0979999974370002,0.5064857112509864,0.2554451644626394
100,0.6987000107765198,0.684499979019165,0.6521999835968018,0.6434000134468079,0.7421000003814697,0.7421000003814697,0.6434000134468079,0.6866285715784345,0.039532860686205526
500,0.900600016117096,0.8921999931335449,0.8955000042915344,0.0979999974370002,0.8910999894142151,0.900600016117096,0.0979999974370002,0.6680000019924981,0.35638129598674007
800,0.9071999788284302,0.8998000025749207,0.911400020122528,0.8901000022888184,0.9075999855995178,0.911400020122528,0.8901000022888184,0.9025142874036517,0.008452336316969362
1000,0.9136000275611876,0.9081000089645386,0.9110000133514404,0.9157000184059144,0.9071999788284302,0.9157000184059144,0.9071999788284302,0.911214292049408,0.003592645749930572
1500,0.916800022125244,0.9101999998092652,0.8992999792098999,0.8938000202178955,0.915000021457672,0.916800022125244,0.8938000202178955,0.9065285835947309,0.010047494220706946
2000,0.9096999764442444,0.901099979877472,0.9200999736785888,0.9211000204086304,0.9169999957084656,0.9211000204086304,0.901099979877472,0.9130285637719291,0.008386307934981201
