N,r1,r2,r3,r4,r5,vmax,vmin,vmean,sigma
20,0.9401000142097472,0.9354000091552734,0.9368000030517578,0.9373999834060668,0.9211999773979188,0.9401000142097472,0.9211999773979188,0.9331714255469186,0.007454003730540242
80,0.9355999827384948,0.9334999918937684,0.9348000288009644,0.9394000172615052,0.940500020980835,0.940500020980835,0.9334999918937684,0.936828579221453,0.0030320054451847085
100,0.9334999918937684,0.930899977684021,0.9413999915122986,0.9330999851226808,0.9430000185966492,0.9430000185966492,0.930899977684021,0.9365428515842983,0.005433887877806873
500,0.9294000267982484,0.9420999884605408,0.9329000115394592,0.940400004386902,0.9318000078201294,0.9420999884605408,0.9294000267982484,0.9354428648948669,0.005591678189521075
800,0.9333000183105468,0.9343000054359436,0.9352999925613404,0.9318000078201294,0.9253000020980836,0.9352999925613404,0.9253000020980836,0.931514288697924,0.003962322307548477
1000,0.9459999799728394,0.945900022983551,0.932200014591217,0.9390000104904176,0.9311000108718872,0.9459999799728394,0.9311000108718872,0.9387571471078056,0.007161209378111791
1500,0.9218999743461608,0.9325000047683716,0.9211999773979188,0.9312000274658204,0.9377999901771544,0.9377999901771544,0.9211999773979188,0.9290857059614999,0.007171971383271993
2000,0.9322999715805054,0.9240999817848206,0.9104999899864196,0.9240999817848206,0.948099970817566,0.948099970817566,0.9104999899864196,0.9282428366797311,0.01377504246485615
