N,r1,r2,r3,r4,r5,vmax,vmin,vmean,sigma
20,0.3914999961853027,0.3330999910831451,0.4293000102043152,0.4235000014305115,0.4225000143051147,0.4293000102043152,0.3330999910831451,0.39461428778512136,0.040202147229317295
80,0.5713000297546387,0.6704000234603882,0.6047000288963318,0.6739000082015991,0.646399974822998,0.6739000082015991,0.5713000297546387,0.6302714432988848,0.04432360657550069
100,0.6812000274658203,0.7226999998092651,0.6775000095367432,0.6712999939918518,0.7089999914169312,0.7226999998092651,0.6712999939918518,0.693671430860247,0.02228391269652529
500,0.8928999900817871,0.8982999920845032,0.8942999839782715,0.8920999765396118,0.891700029373169,0.8982999920845032,0.891700029373169,0.8941857133592878,0.002673569259640899
800,0.912999987602234,0.9103000164031982,0.9075000286102296,0.913100004196167,0.9082000255584716,0.913100004196167,0.9075000286102296,0.9103857278823853,0.002612837251915742
1000,0.9136000275611876,0.9160000085830688,0.9175999760627748,0.9160000085830688,0.9180999994277954,0.9180999994277954,0.9136000275611876,0.916142863886697,0.0017600978802336678
1500,0.9211000204086304,0.9229999780654908,0.9200000166893004,0.9180999994277954,0.9132000207901,0.9229999780654908,0.9132000207901,0.9188000048909869,0.003735896740540721
2000,0.9369999766349792,0.9290000200271606,0.9312000274658204,0.9204000234603882,0.930899977684021,0.9369999766349792,0.9204000234603882,0.9294142893382481,0.005999150425501631
